date, value
1974-12-31,183.9000
1975-01-02,175.1000
1975-01-03,174.7000
1975-01-06,174.4000
1975-01-07,173.4000
1975-01-08,177.4000
1975-01-09,178.3000
1975-01-10,181.3000
1975-01-13,178.6000
1975-01-14,178.6000
1975-01-15,177.3000
1975-01-16,175.1000
1975-01-17,172.1000
1975-01-20,176.2000
1975-01-21,173.7000
1975-01-22,174.3000
1975-01-23,176.4000
1975-01-24,179.5000
1975-01-27,176.8000
1975-01-28,176.5200
1975-01-29,180.1400
1975-01-30,177.3000
1975-01-31,177.5000
1975-02-03,178.3000
1975-02-04,177.3000
1975-02-05,176.7000
1975-02-06,176.3000
1975-02-07,177.3000
1975-02-10,175.6000
1975-02-11,176.8000
1975-02-13,185.8000
1975-02-14,184.9000
1975-02-18,185.4000
1975-02-19,185.6000
1975-02-20,187.7000
1975-02-21,186.0000
1975-02-24,186.9000
1975-02-25,184.4000
1975-02-26,185.2000
1975-02-27,182.5000
1975-02-28,183.0000
1975-03-03,182.6000
1975-03-04,177.0000
1975-03-05,178.7000
1975-03-06,180.6000
1975-03-07,178.0000
1975-03-10,177.2000
1975-03-11,180.0000
1975-03-12,178.1000
1975-03-13,179.5000
1975-03-14,178.7000
1975-03-17,179.0000
1975-03-18,178.6000
1975-03-19,179.2000
1975-03-20,175.5000
1975-03-21,175.6000
1975-03-24,175.9000
1975-03-25,176.7000
1975-03-26,179.1400
1975-03-27,177.5000
1975-03-31,179.0200
1975-04-01,179.1000
1975-04-02,178.1000
1975-04-03,177.1000
1975-04-04,173.8000
1975-04-07,174.1000
1975-04-08,174.5000
1975-04-09,174.5000
1975-04-10,173.1000
1975-04-11,172.7000
1975-04-14,166.2000
1975-04-15,164.6000
1975-04-16,166.5000
1975-04-17,169.5000
1975-04-18,169.0000
1975-04-21,165.7000
1975-04-22,166.7000
1975-04-23,168.8000
1975-04-24,167.0000
1975-04-25,166.8000
1975-04-28,166.3000
1975-04-29,167.8000
1975-04-30,166.8000
1975-05-01,165.5000
1975-05-02,165.0000
1975-05-05,163.5000
1975-05-06,164.9000
1975-05-07,166.1000
1975-05-08,167.3000
1975-05-09,166.6000
1975-05-12,165.9000
1975-05-13,166.7000
1975-05-14,169.3000
1975-05-15,165.9000
1975-05-16,166.9000
1975-05-19,168.8000
1975-05-20,168.2000
1975-05-21,172.2000
1975-05-22,173.5000
1975-05-23,174.7000
1975-05-27,172.4800
1975-05-28,171.0000
1975-05-29,169.1000
1975-05-30,168.5000
1975-06-02,165.2000
1975-06-03,167.5000
1975-06-04,165.9000
1975-06-05,167.4000
1975-06-06,167.2000
1975-06-09,168.5000
1975-06-10,167.3000
1975-06-11,167.1000
1975-06-12,166.5000
1975-06-13,165.9000
1975-06-16,164.4000
1975-06-17,166.0000
1975-06-18,165.4000
1975-06-19,164.3000
1975-06-20,164.3000
1975-06-23,163.5000
1975-06-24,164.5000
1975-06-25,166.3000
1975-06-26,166.0000
1975-06-27,167.9000
1975-06-30,167.8000
1975-07-01,168.1000
1975-07-02,166.3000
1975-07-03,166.4000
1975-07-07,164.0000
1975-07-08,166.7000
1975-07-09,166.9000
1975-07-10,165.3000
1975-07-11,167.4000
1975-07-14,167.0000
1975-07-15,165.9000
1975-07-16,165.3000
1975-07-17,165.3000
1975-07-18,165.4000
1975-07-21,165.1000
1975-07-22,166.4000
1975-07-23,165.5000
1975-07-24,166.0000
1975-07-25,167.9000
1975-07-28,170.4400
1975-07-29,168.9000
1975-07-30,169.6400
1975-07-31,169.9200
1975-08-01,170.5000
1975-08-04,170.3000
1975-08-05,168.9000
1975-08-06,168.2000
1975-08-07,168.5000
1975-08-08,164.0000
1975-08-11,164.1000
1975-08-12,165.7000
1975-08-13,162.4000
1975-08-14,161.3000
1975-08-15,164.2000
1975-08-18,163.6000
1975-08-19,163.6000
1975-08-20,164.4000
1975-08-21,163.7000
1975-08-22,163.2000
1975-08-25,163.3000
1975-08-26,162.9000
1975-08-27,163.3000
1975-08-28,162.8000
1975-08-29,160.2000
1975-09-02,150.2000
1975-09-03,151.3000
1975-09-04,152.9000
1975-09-05,153.8000
1975-09-08,151.0000
1975-09-09,149.8000
1975-09-10,148.5000
1975-09-11,147.7000
1975-09-12,147.8000
